SAPECCSalesGroup	TERRID	CustomerID	month	Visits
Team 1	Employee 43	100000889	12	0
Team 1	Employee 43	100000901	5	1
Team 1	Employee 43	100000901	6	0
Team 1	Employee 43	100000901	7	1
Team 1	Employee 43	100000901	8	0
Team 1	Employee 43	100000901	9	1
Team 1	Employee 43	100000901	10	0
Team 1	Employee 43	100000901	11	1
Team 1	Employee 43	100000901	12	0
Team 1	Employee 43	100000907	5	0
Team 1	Employee 43	100000907	6	0
Team 1	Employee 43	100000907	7	1
Team 1	Employee 43	100000907	8	0
Team 1	Employee 43	100000907	9	0
Team 1	Employee 43	100000907	10	0
Team 1	Employee 43	100000907	11	0
Team 1	Employee 43	100000907	12	0
Team 1	Employee 43	100001905	5	1
Team 1	Employee 43	100001905	6	0
Team 1	Employee 43	100001905	7	1
Team 1	Employee 43	100001905	8	0
Team 1	Employee 43	100001905	9	0
Team 1	Employee 43	100001905	10	0
Team 1	Employee 43	100001905	11	1
Team 1	Employee 43	100001905	12	0
Team 1	Employee 43	100001948	5	0
Team 1	Employee 43	100001948	6	0
Team 1	Employee 43	100001948	7	0
Team 1	Employee 43	100001948	8	0
Team 1	Employee 43	100001948	9	0
Team 1	Employee 43	100001948	10	0
Team 1	Employee 43	100001948	11	0
Team 1	Employee 43	100001948	12	0
Team 1	Employee 43	100001967	5	0
